Year,Test
1990, 657.2,
1991, 630.8,
1992, 596.8,
1993, 557.5,
1994, 521.6,
1995, 492.9,
1996, 467.2,
1997, 442.6,
1998, 419.2,
1999, 389.2,
2000, 385.1,
2001, 376.5,
2002, 390.7,
2003, 408.6,
2004, 427.3,
2005, 426.1,
2006, 460.4,
2007, 472.7,
2008, 510.6,
2009, 512.5,
2010, 497.7,
2011, 502.6,
2012, 520.7,
2013, 503.7,
2014, 465.9,
2015, 411.8,
2016, 397.0,
2017, 364.0,
2018, 335.9,
2019, 308.8,
2020, 293.4,
2021, 272.0
